rolleID	name
1150	John Fisher
1151	Mr. Castro
1152	Anudhara
1153	Ruth
1154	Doktor Ax Me
1155	Stinky Rossiter
1156	Fear Crowther
1157	Mouth Crosby
1158	Mack Dolland
1159	Eric Mukogawa
1160	Marilla
1161	Rosie
1162	Laurence Seinfeld
1163	Denzel Hopkins
1164	Goldie Hopkins
1165	Neil Rockwell
1166	Mrs. Summer Hopkins
1167	Brooks, Galerist
1168	Mr. Elroy Follister
1169	Wayne
1170	Gefängniswärter
1171	Greis
1172	Beamter
1173	Bert Young
1174	Mrs. Johnson
1175	Chapman
1176	Blake
1177	Sunny
1178	Fernsehe-Sprecher
1179	Francesco
1180	Sean O'Donnell
1181	Alexander Chilton
1182	Mann im Stadion
1183	Frau im Police Department
1184	Mrs. Gardiner
1185	Inspektor Craig
1186	Tom Chilton
1187	Junger Mann auf der Pier
1188	Junge im Stadion
1189	Live-Kommentator
1190	Frau auf dem Pier
1191	Prof. Jane Heathcliff
1192	Mr. Grey
1193	Lester Price
1194	Cinelly
1195	Miss Deborah Cassidy
1196	Mr. Burke
1197	Miss Trimble
1198	Mr. Weston
1199	Nachbarin
1200	Michael Kowalski
1201	Zack Martin
1202	Mary-Ann Leigh
1203	Latona Johnson
1204	Frank Norman
1205	Mrs. Robinson
1206	Angela Sciutto
1207	Federico Sciutto
1208	Mr. Torrance
1209	Kind
1210	Ryan Holbrooke
1211	Sheriff Pickett
1212	Stephen Baron
1213	Zyklon
1214	Al Dahab
1215	Matthew
1216	Zabriski
1217	Fred
1218	Riese
1219	Hunnicutt
1220	Sheila
1221	Felicity
1222	Chester
1223	Gizmo
1224	Mr. Vancura
1225	Shannon
1226	Mr. Mosley
1227	Patricia
1228	Peter Shawn
1229	Marty
1230	Mrs. Floyd
1231	Vincent Grimes
1232	Juliet
1233	Scott
1234	Mr. Darrow
1235	Mann 3
1236	Michelle
1237	Ronald Pounder
1238	Maurice Blight
1239	Betsy
1240	Isabella
1241	Vladas Abakulow
1242	Moody Firthway
1243	Jenna
1244	Mann 4
1245	Caroline Cotta
1246	Sergeant Donatelli
1247	Barbara
1248	Professor Mathewson
1249	Arthur
1250	Alan Jones
1251	Shu Liin
1252	Stadtverwalter
1253	Feuerschlucker
1254	Greenwalt
1255	Brock
1256	Deforge
1257	Mrs. Kretchmer
1258	Mrs. Espenson
1259	Mrs. Wondratschek
1260	Mrs. Field
1261	Prof. Arnold Brewster
1262	Miss Daggett
1263	Hold
1264	Hank Tornby
1265	Mike Cobble
1266	Martin Ishniak
1267	Samuel Cobble
1268	William Prescott
1269	Jim Sesto
1270	Fynch
1271	Lenni
1272	John Greyfox
1273	Clay Carson
1274	Walter
1275	Freddy Hays
1276	Spieler
1277	Randy
1278	Jeanne
1279	Ginette
1280	Tara
1281	Ranger Thornton
1282	Mr. Louis
1283	Busfahrer
1284	Lindsey
1285	Mr. Bennet
1286	Mrs. Dearing
1287	Conrad Nash
1288	Mrs. Hampton
1289	Nicky DeLores
1290	Mrs. Woodrow
1291	Judy Nigel
1292	Direktor Grayston
1293	Gregory Katic
1294	Mr. Clark
1295	Tarzan
1296	Mr. Callister
1297	Lionel Pengrim
1298	Ned
1299	Emily White
1300	Judy Fradkin
1301	Aladin
1302	Aschenputtel
1303	Prinzessin
1304	Rotkäppchen
1305	Meerjungfrau
1306	Arzt
1307	Mrs. Wallace
1308	Bobby
1309	Carl Hopkins, Physiker
