sprechrolleID	personID	pseudonymID
2081	43	
2082	586	
2083	113	
2084	587	
2085	220	61
2086	26	7
2087	93	
2088	397	
2089	588	
2090	388	
2091	4	
2092	5	
2093	6	
2094	44	5
2095	16	
2096	168	
2097	427	
2098	589	
2099	97	
2100	590	
2101	591	
2102	124	
2103	592	
2104	593	
2105	594	
2106	120	
2107	480	
2108	388	
2109	4	
2110	5	
2111	6	
2112	595	
2113	427	
2114	587	
2115	500	
2116	236	
2117	596	
2118	14	
2119	45	
2120	168	
2121	220	
2122	468	
2123	597	
2124	388	
2125	4	
2126	5	
2127	6	
2128	90	
2129	168	
2130	598	
2131	319	
2132	440	
2133	599	
2134	543	
2135	166	
2136	388	
2137	4	
2138	5	
2139	6	
2140	600	
2141	168	
2142	189	
2143	264	
2144	14	
2145	551	
2146	601	
2147	443	
2148	602	
2149	584	
2150	548	
2151	229	
2152	388	
2153	4	
2154	5	
2155	6	
2156	383	
2157	442	
2158	603	
2159	604	
2160	605	
2161	606	
2162	421	
2163	607	
2164	608	
2165	168	
2166	609	
2167	610	
2168	415	
2169	510	
2170	388	
2171	4	
2172	5	
2173	6	
2174	14	
2175	608	
2176	601	
2177	351	
2178	611	
2179	607	
2180	605	
2181	609	
2182	612	
2183	189	
2184	264	
2185	383	
2186	613	
2187	416	
2188	532	
2189	388	
2190	4	
2191	5	
2192	6	
2193	14	
2194	383	
2195	608	
2196	351	
2197	478	
2198	604	
2199	605	
2200	601	
2201	421	
2202	609	
2203	612	
2204	265	
2205	614	
2206	615	
2207	154	
2208	4	
2209	5	
2210	6	
2211	616	
2212	617	
2213	592	
2214	618	
2215	619	
2216	620	
2217	594	
2218	182	
2219	41	
2220	26	
2221	388	
2222	4	
2223	5	
2224	6	
2225	361	
2226	621	
2227	434	
2228	466	
2229	168	
2230	364	
2231	622	
2232	623	
2233	339	
2234	298	
2235	381	
2236	166	
2237	327	
2238	71	
2239	319	
2240	613	
2241	388	
2242	4	
2243	5	
2244	6	
2245	168	
2246	65	
2247	154	
2248	523	
2249	347	
2250	624	
2251	189	
2252	110	
2253	353	
2254	625	
2255	626	
2256	177	
2257	627	
2258	26	
2259	501	
2260	388	
2261	4	
2262	5	
2263	6	
2264	349	
2265	91	
2266	628	
2267	629	
2268	378	
2269	630	
2270	272	
2271	313	
2272	631	
2273	550	
2274	632	
2275	633	
2276	634	
2277	561	
2278	388	
2279	4	
2280	5	
2281	6	
2282	168	
2283	44	5
2284	16	
2285	441	
2286	97	
2287	571	
2288	19	
2289	445	
2290	149	
2291	94	
2292	416	
2293	540	
2294	635	
2295	636	
2296	374	
2297	220	
2298	351	
2299	174	
2300	388	
2301	4	
2302	5	
2303	6	
2304	214	
2305	637	
2306	638	
2307	639	
2308	640	
2309	641	
2310	642	
2311	407	
2312	264	
2313	643	
2314	388	
2315	4	
2316	5	
2317	6	
2318	343	
2319	312	
2320	644	
2321	474	
2322	645	
2323	348	
2324	619	
2325	168	
2326	45	
2327	46	
2328	388	
2329	4	
2330	5	
2331	6	
2332	44	5
2333	621	
2334	459	
2335	646	
2336	14	
2337	168	
2338	567	
2339	619	
2340	220	
2341	153	
2342	388	
2343	4	
2344	5	
2345	6	
2346	454	
2347	272	
2348	168	
2349	353	
2350	161	
2351	645	
2352	418	
2353	388	
2354	4	
2355	5	
2356	6	
2357	149	
2358	388	
2359	4	
2360	5	
2361	6	
2362	530	
2363	174	
2364	170	
2365	6	
2366	388	
2367	4	
2368	5	
2369	6	
2370	590	
2371	647	
2372	648	
2373	649	
2374	5	
2375	388	
2376	4	
2377	5	
2378	6	
2379	154	
2380	388	
2381	4	
2382	5	
2383	6	
2384	16	
2385	537	
2386	388	
2387	4	
2388	5	
2389	6	
2390	16	
2391	26	
2392	299	
2393	597	
2394	96	62
2395	4	
2396	388	
2397	4	
2398	5	
2399	6	
2400	182	
2401	112	
2402	354	
2403	388	
2404	4	
2405	5	
2406	6	
2407	168	
2408	625	
2409	468	
2410	229	
2411	650	
2412	388	
2413	4	
2414	5	
2415	6	
2416	651	
2417	483	
2418	376	
2419	76	
2420	438	
2421	374	
2422	538	
2423	619	
2424	264	
2425	491	
2426	642	
2427	652	
2428	504	
2429	388	
2430	4	
2431	5	
2432	6	
2433	16	
2434	44	5
2435	168	
2436	150	
2437	14	
2438	440	
2439	480	
2440	312	
2441	388	
2442	4	
2443	5	
2444	6	
2445	654	
2446	623	
2447	442	
2448	536	
2449	655	
2450	510	
2451	117	
2452	149	
2453	168	
2454	220	
2455	444	
2456	388	
2457	4	
2458	5	
2459	6	
